Unnamed: 0,Subject,time,L_P,R_P,Event,TrialN
1,Subject_5,1.0,3.85885664225029,3.90191639417487,Fixation,1.0
2,Subject_5,4.3335259856304,3.83980775220233,3.88265494363142,,
3,Subject_5,7.66705197126081,3.84815041261621,3.89109069713507,,
4,Subject_5,11.0005779568912,3.85555858212033,3.89858153204261,,
5,Subject_5,14.3341039425216,3.83969262239897,3.88253852913126,,
6,Subject_5,17.667629928152,3.90722281920878,3.95082227389365,,
7,Subject_5,21.0011559137824,3.88614742128579,3.92951170231939,,
8,Subject_5,24.3346818994128,3.84273015888656,3.88560996052083,,
9,Subject_5,27.6682078850432,3.84816310078829,3.89110352689043,,
10,Subject_5,31.0017338706736,3.8469345841319,3.88986130160804,,
11,Subject_5,34.335259856304,3.82676581800809,3.86946747864838,,
12,Subject_5,37.6687858419344,3.85229760023499,3.89528416189929,,
13,Subject_5,41.0023118275648,3.870272533351,3.91345967156753,,
14,Subject_5,44.3358378131952,3.83996674996956,3.88281571560408,,
15,Subject_5,47.6693637988256,3.81906389671749,3.86167961407176,,
16,Subject_5,51.002889784456,3.85851474414716,3.90157068093973,,
17,Subject_5,54.3364157700864,3.83476929312959,3.87756026199903,,
18,Subject_5,57.6699417557168,3.8384008825926,3.88123237521192,,
19,Subject_5,61.0034677413473,3.82463056365118,3.86730839766834,,
20,Subject_5,64.3369937269777,3.82776654968773,3.87047937717402,,
21,Subject_5,67.6705197126081,3.79324834223168,3.83557599203771,,
22,Subject_5,71.0040456982385,3.85226750305653,3.895253728876,,
23,Subject_5,74.3375716838689,3.8105356354415,3.85305618864511,,
24,Subject_5,77.6710976694993,3.79774749036241,3.8401253447291,,
25,Subject_5,81.0046236551297,3.82149047881476,3.8641332736256,,
26,Subject_5,84.3381496407601,3.80792438380116,3.8504157988796,,
27,Subject_5,87.6716756263905,3.78240284863442,3.82460947703252,,
28,Subject_5,91.0052016120209,3.79025148719044,3.83254569604579,,
29,Subject_5,94.3387275976513,3.7699370358125,3.81200456217666,,
30,Subject_5,97.6722535832817,3.7510285092204,3.79288504136015,,
31,Subject_5,101.005779568912,3.80963177982071,3.85214224718739,,
32,Subject_5,104.339305554542,3.74231367339418,3.7840729594573,,
33,Subject_5,107.672831540173,3.79816148994027,3.84054396399636,,
34,Subject_5,111.006357525803,3.73434210479019,3.77601243865883,,
35,Subject_5,114.339883511434,3.79737395595547,3.83974764217071,,
36,Subject_5,117.673409497064,3.79314382631081,3.83547030985697,,
